org,dst,CO2,NOx,CO,HC
SZX,PEK,0.0478,0.2143,0.08574,0.006478126
SHA,PEK,0.0414,0.1961,0.04546,0.002950208
SHA,SZX,0.0349,0.1780,0.02849,0.001976496
SZX,SHA,0.0341,0.1835,0.02751,0.002056511
PEK,SZX,0.0328,0.1469,0.05117,0.003686237
CAN,PEK,0.0325,0.1447,0.05371,0.003786352
PEK,SHA,0.0320,0.1550,0.02950,0.001837031
SHA,CAN,0.0314,0.1478,0.03395,0.002258637
CAN,PKX,0.0279,0.1324,0.03689,0.002625916
CAN,SHA,0.0271,0.1313,0.03236,0.002312451
SZX,PKX,0.0266,0.1397,0.02149,0.001667486
CTU,PEK,0.0260,0.1197,0.02165,0.00116549
PKX,CAN,0.0249,0.1132,0.03162,0.002182225
PEK,CTU,0.0236,0.1063,0.01841,0.000947506
PKX,SZX,0.0223,0.1050,0.01856,0.00134684
SZX,HGH,0.0210,0.1137,0.01680,0.001401355
PEK,CAN,0.0207,0.0910,0.03586,0.002578148
CAN,HGH,0.0196,0.1041,0.01872,0.00157023
HGH,CAN,0.0191,0.0948,0.01846,0.001462565
HGH,SZX,0.0189,0.0947,0.01757,0.001447461
SZX,CKG,0.0183,0.0955,0.01419,0.001124965
KMG,PEK,0.0175,0.0874,0.01197,0.00060902
CAN,URC,0.0175,0.0775,0.01592,0.001061622
SZX,XIY,0.0172,0.0828,0.01595,0.001270062
SZX,CTU,0.0163,0.0784,0.01408,0.000895051
SHA,CTU,0.0157,0.0683,0.01234,0.000548495
HAK,PEK,0.0156,0.0746,0.02167,0.001596416
SYX,PEK,0.0154,0.0678,0.03830,0.003198249
CTU,PKX,0.0153,0.0796,0.01183,0.000709578
URC,CAN,0.0152,0.0688,0.01210,0.000757792
SHA,URC,0.0152,0.0635,0.01188,0.000598073
CKG,PEK,0.0151,0.0713,0.01056,0.000704717
CTU,SZX,0.0149,0.0714,0.01192,0.00073526
KMG,PKX,0.0148,0.0734,0.01049,0.000798037
HGH,PEK,0.0145,0.0750,0.01132,0.000795411
XIY,SZX,0.0142,0.0639,0.01327,0.00103092
PEK,KMG,0.0141,0.0629,0.01144,0.00054601
URC,PKX,0.0139,0.0684,0.00932,0.000679544
CGO,URC,0.0137,0.0594,0.01026,0.000835766
PEK,HAK,0.0136,0.0628,0.01750,0.001238146
SHE,PVG,0.0135,0.0652,0.01420,0.001187255
CTU,CAN,0.0134,0.0631,0.01269,0.000796794
SHA,CKG,0.0132,0.0639,0.01105,0.000729599
URC,SHA,0.0132,0.0620,0.00827,0.000536729
CKG,SZX,0.0131,0.0639,0.01131,0.000900723
PEK,SYX,0.0131,0.0565,0.03199,0.002656641
CSX,PEK,0.0130,0.0685,0.00905,0.000594587
HGH,CTU,0.0130,0.0607,0.01290,0.001057517
PVG,HRB,0.0130,0.0573,0.01420,0.001248548
HRB,PVG,0.0129,0.0570,0.01485,0.001315611
SZX,TFU,0.0129,0.0654,0.01185,0.001020486
HGH,CKG,0.0128,0.0607,0.01217,0.000936456
CTU,LXA,0.0127,0.0595,0.01336,0.000635756
URC,CGO,0.0127,0.0566,0.00870,0.00071226
CTU,HGH,0.0125,0.0671,0.01040,0.000975789
SYX,PKX,0.0125,0.0590,0.01630,0.001306835
PEK,CKG,0.0125,0.0622,0.00902,0.000613952
CAN,CTU,0.0124,0.0571,0.01221,0.000759913
PVG,CKG,0.0124,0.0569,0.01319,0.001170591
SHA,XIY,0.0123,0.0573,0.01308,0.001030172
PKX,URC,0.0123,0.0569,0.00968,0.000689457
PVG,SHE,0.0123,0.0572,0.01218,0.000957134
URC,PEK,0.0121,0.0589,0.01205,0.000959895
CAN,XIY,0.0121,0.0568,0.01366,0.001166935
SZX,NKG,0.0120,0.0626,0.01084,0.001038619
PVG,CTU,0.0118,0.0513,0.01133,0.000742898
PEK,HGH,0.0116,0.0604,0.00947,0.000683425
XMN,PEK,0.0114,0.0554,0.00871,0.000628034
SHA,TFU,0.0114,0.0512,0.01144,0.000861648
TFU,URC,0.0114,0.0521,0.01035,0.000860389
XIY,CAN,0.0113,0.0502,0.01183,0.000974946
PKX,SYX,0.0113,0.0525,0.01318,0.001032337
SZX,PVG,0.0112,0.0572,0.01009,0.000898986
PKX,KMG,0.0112,0.0512,0.00940,0.000655059
CAN,NKG,0.0111,0.0534,0.01026,0.000915585
CTU,PVG,0.0111,0.0535,0.01032,0.000789352
TFU,SZX,0.0111,0.0547,0.00979,0.000821613
SZX,URC,0.0110,0.0509,0.00842,0.000503884
CSX,PKX,0.0110,0.0567,0.01028,0.001024935
PKX,CTU,0.0109,0.0508,0.00892,0.000515099
KMG,HGH,0.0107,0.0542,0.00969,0.00096708
URC,HGH,0.0105,0.0503,0.00752,0.000659232
PEK,URC,0.0104,0.0472,0.01166,0.000905292
CTU,SHA,0.0104,0.0495,0.00740,0.00034354
CAN,TAO,0.0104,0.0488,0.01176,0.00102912
HGH,KMG,0.0104,0.0455,0.01154,0.001050387
HGH,URC,0.0103,0.0439,0.00873,0.000653123
SZX,CGO,0.0103,0.0490,0.00783,0.000710094
HGH,TFU,0.0103,0.0483,0.01005,0.000887616
PVG,SZX,0.0102,0.0471,0.00997,0.000825146
PVG,KMG,0.0102,0.0446,0.01018,0.000850482
URC,TFU,0.0101,0.0460,0.00905,0.000743882
TFU,HGH,0.0101,0.0527,0.00870,0.000844109
TSN,CAN,0.0100,0.0465,0.00796,0.000558572
HGH,XIY,0.0100,0.0474,0.01015,0.000931983
XMN,PKX,0.0100,0.0485,0.00810,0.000434558
TFU,SYX,0.0100,0.0495,0.00879,0.000685113
KMG,PVG,0.0099,0.0494,0.00855,0.000806867
SZX,KMG,0.0099,0.0478,0.00976,0.000847662
XIY,HGH,0.0098,0.0503,0.00859,0.000832669
XIY,SHA,0.0098,0.0490,0.00907,0.000764888
CGO,SZX,0.0098,0.0441,0.00796,0.000702466
PVG,CAN,0.0098,0.0466,0.00909,0.000637801
LXA,CTU,0.0098,0.0477,0.00999,0.000516356
SYX,TFU,0.0097,0.0473,0.00908,0.000717634
CAN,TFU,0.0097,0.0483,0.00920,0.000746672
CGQ,PVG,0.0097,0.0430,0.01152,0.00100019
NKG,SZX,0.0096,0.0435,0.01064,0.000965287
CAN,TSN,0.0095,0.0445,0.00789,0.000575218
URC,SZX,0.0095,0.0438,0.00674,0.000402405
PVG,CGQ,0.0094,0.0438,0.01012,0.000876194
TFU,CAN,0.0094,0.0449,0.00859,0.00067421
CAN,PVG,0.0094,0.0475,0.00880,0.0006534
CKG,PVG,0.0094,0.0470,0.00985,0.000956752
KMG,XIY,0.0092,0.0451,0.00886,0.000839563
CGO,KMG,0.0092,0.0401,0.00890,0.000753631
TFU,SHA,0.0091,0.0456,0.00811,0.000702585
KMG,CGO,0.0091,0.0421,0.00788,0.000694499
SHA,XMN,0.0090,0.0452,0.00791,0.000615291
CKG,NKG,0.0090,0.0456,0.00846,0.000854986
NKG,CAN,0.0090,0.0377,0.01038,0.000883156
SHA,KMG,0.0089,0.0376,0.00949,0.000740603
PEK,XMN,0.0088,0.0420,0.00680,0.00049172
TFU,LXA,0.0088,0.0385,0.01011,0.000537654
PKX,CSX,0.0088,0.0413,0.00867,0.000817198
CKG,HGH,0.0087,0.0440,0.00810,0.000743175
HGH,PKX,0.0087,0.0437,0.00794,0.000717302
KMG,SHA,0.0087,0.0414,0.00763,0.000684643
PVG,TFU,0.0086,0.0385,0.00914,0.000803252
NKG,CKG,0.0085,0.0370,0.00987,0.000893614
CKG,PKX,0.0085,0.0438,0.00775,0.000716747
CGO,HAK,0.0085,0.0399,0.00754,0.000655101
XMN,SHA,0.0084,0.0435,0.00668,0.000528606
KMG,SZX,0.0084,0.0415,0.00764,0.000664116
PKX,CKG,0.0084,0.0428,0.00771,0.000712616
TFU,PKX,0.0083,0.0427,0.00705,0.00060322
WUH,URC,0.0083,0.0355,0.00676,0.000491394
SZX,TAO,0.0083,0.0395,0.00741,0.000644004
CAN,TNA,0.0082,0.0388,0.00608,0.000525273
PKX,XMN,0.0082,0.0388,0.00663,0.000353255
CSX,URC,0.0082,0.0361,0.00606,0.000479923
SHE,TFU,0.0082,0.0380,0.00720,0.000547494
CAN,KMG,0.0081,0.0379,0.00798,0.000695594
CAN,CKG,0.0081,0.0402,0.00752,0.000600107
KWE,PEK,0.0080,0.0379,0.00647,0.000550019
SZX,TSN,0.0080,0.0377,0.00690,0.000603078
SHA,PKX,0.0079,0.0405,0.00720,0.000480977
TFU,TAO,0.0079,0.0391,0.00697,0.000695521
TAO,CAN,0.0078,0.0332,0.00839,0.000687336
PVG,SYX,0.0078,0.0364,0.00757,0.000642706
SZX,TNA,0.0078,0.0372,0.00702,0.000659743
TFU,PVG,0.0077,0.0394,0.00742,0.000737876
PVG,XIY,0.0077,0.0354,0.00853,0.000780685
CGO,CAN,0.0077,0.0351,0.00667,0.000619007
TAO,TFU,0.0077,0.0337,0.00701,0.00061506
HAK,CGO,0.0075,0.0352,0.00672,0.000599934
CAN,CGO,0.0075,0.0347,0.00620,0.000571952
TFU,PEK,0.0075,0.0394,0.00517,0.000434697
XIY,PEK,0.0075,0.0376,0.00563,0.000460531
KMG,TNA,0.0075,0.0351,0.00661,0.000623735
SHE,XIY,0.0074,0.0325,0.00800,0.000682109
URC,TNA,0.0074,0.0341,0.00431,0.00036495
TSN,SZX,0.0073,0.0326,0.00579,0.000466856
PEK,CSX,0.0073,0.0354,0.00516,0.000353084
URC,CSX,0.0073,0.0327,0.00501,0.00041012
KMG,CAN,0.0073,0.0350,0.00652,0.000569205
KMG,NKG,0.0073,0.0353,0.00676,0.00064518
HGH,HRB,0.0072,0.0358,0.00647,0.00064074
PVG,DLC,0.0071,0.0364,0.00871,0.000882272
URC,NKG,0.0071,0.0336,0.00532,0.000487818
XMN,XIY,0.0071,0.0351,0.00575,0.000456076
HRB,TFU,0.0071,0.0326,0.00607,0.000523192
SHA,SYX,0.0071,0.0334,0.00638,0.000437856
PKX,HGH,0.0071,0.0353,0.00705,0.000651849
DLC,PVG,0.0071,0.0362,0.00793,0.000795316
CKG,URC,0.0071,0.0315,0.00648,0.000601788
URC,WUH,0.0070,0.0299,0.00471,0.000319539
SZX,HRB,0.0070,0.0311,0.00691,0.000589786
TFU,NKG,0.0070,0.0372,0.00634,0.000634738
PKX,KWE,0.0070,0.0311,0.00694,0.000645686
SYX,PVG,0.0070,0.0327,0.00708,0.000622902
SZX,HFE,0.0070,0.0350,0.00593,0.000541128
CKG,CAN,0.0070,0.0348,0.00608,0.000478722
FOC,PEK,0.0069,0.0334,0.00580,0.000532003
PKX,TFU,0.0069,0.0322,0.00611,0.000507889
CSX,XIY,0.0068,0.0333,0.00673,0.000634908
SZX,SHE,0.0068,0.0303,0.00671,0.000568717
PEK,TFU,0.0068,0.0345,0.00481,0.000384642
HRB,TAO,0.0068,0.0325,0.00678,0.000646342
PEK,KWE,0.0068,0.0312,0.00613,0.000505683
PVG,KWE,0.0068,0.0295,0.00735,0.000659396
NKG,URC,0.0068,0.0269,0.00636,0.000515653
TAO,CKG,0.0068,0.0293,0.00627,0.000544545
SHE,SZX,0.0068,0.0286,0.00668,0.000541853
CSX,TAO,0.0068,0.0333,0.00614,0.000587127
WUH,KMG,0.0067,0.0296,0.00676,0.000602126
CKG,SHA,0.0067,0.0349,0.00520,0.000435263
HGH,SHE,0.0067,0.0317,0.00583,0.000455722
TNA,CAN,0.0067,0.0280,0.00526,0.000416005
CKG,TAO,0.0067,0.0316,0.00590,0.000570556
SZX,WUX,0.0067,0.0328,0.00564,0.000540465
XIY,KMG,0.0066,0.0290,0.00771,0.000701925
CKG,LXA,0.0066,0.0235,0.01000,0.000362632
ZUH,PEK,0.0066,0.0314,0.00527,0.000411263
TNA,URC,0.0066,0.0285,0.00442,0.000335925
HRB,HGH,0.0066,0.0307,0.00594,0.000566799
XIY,PVG,0.0066,0.0323,0.00683,0.00066821
SYX,XIY,0.0066,0.0317,0.00590,0.000591204
PVG,PKX,0.0065,0.0327,0.00631,0.000537972
SHE,HGH,0.0065,0.0299,0.00622,0.000497054
PVG,HAK,0.0065,0.0323,0.00528,0.000417067
PVG,NNG,0.0065,0.0285,0.00720,0.000618736
LXA,TFU,0.0065,0.0300,0.00699,0.000400226
XMN,KMG,0.0064,0.0286,0.00593,0.00053459
HGH,SYX,0.0064,0.0319,0.00654,0.000644252
PKX,SHA,0.0064,0.0316,0.00510,0.000321176
HRB,SZX,0.0064,0.0270,0.00646,0.000527216
TNA,KMG,0.0064,0.0262,0.00672,0.000577831
NNG,PEK,0.0064,0.0295,0.00622,0.000541573
CSX,HAK,0.0063,0.0310,0.00555,0.000522217
NKG,KMG,0.0063,0.0254,0.00763,0.000660995
ZUH,PKX,0.0063,0.0286,0.00540,0.000484373
HGH,KWE,0.0062,0.0285,0.00568,0.000520645
NKG,TFU,0.0062,0.0273,0.00719,0.000642061
SYX,HGH,0.0062,0.0310,0.00647,0.00063733
SHE,CAN,0.0062,0.0266,0.00640,0.000470352
TFU,SHE,0.0062,0.0303,0.00550,0.00047426
URC,CKG,0.0061,0.0291,0.00536,0.000526373
CSX,TFU,0.0061,0.0302,0.00652,0.000610992
XMN,CKG,0.0061,0.0282,0.00551,0.000482063
WUH,HAK,0.0061,0.0295,0.00514,0.00046098
CSX,SYX,0.0061,0.0310,0.00553,0.000523609
PEK,NNG,0.0061,0.0263,0.00601,0.000546381
XIY,SYX,0.0061,0.0290,0.00537,0.000527188
TAO,SZX,0.0061,0.0268,0.00615,0.00052016
TNA,CKG,0.0061,0.0265,0.00583,0.000515407
XIY,XMN,0.0061,0.0297,0.00467,0.000413586
TFU,HRB,0.0060,0.0288,0.00515,0.00047172
XMN,TFU,0.0060,0.0292,0.00533,0.000412929
CKG,TNA,0.0060,0.0291,0.00549,0.000537195
WUX,CKG,0.0060,0.0284,0.00624,0.000551983
TNA,SZX,0.0060,0.0258,0.00562,0.000486589
TSN,TFU,0.0060,0.0256,0.00443,0.000358308
SYX,SHA,0.0060,0.0280,0.00550,0.000395986
SZX,CGQ,0.0060,0.0266,0.00576,0.000506356
CAN,WUX,0.0060,0.0285,0.00527,0.000487127
TAO,HRB,0.0060,0.0279,0.00681,0.000669372
WUH,TFU,0.0060,0.0268,0.00659,0.000593695
XMN,CGO,0.0060,0.0283,0.00506,0.000432211
HAK,PKX,0.0059,0.0287,0.00525,0.000442616
PKX,HAK,0.0058,0.0271,0.00546,0.000444274
SHA,HAK,0.0058,0.0290,0.00487,0.000326191
WUH,SZX,0.0058,0.0299,0.00499,0.00045063
FOC,PKX,0.0058,0.0280,0.00423,0.000340567
HRB,TNA,0.0057,0.0253,0.00617,0.000550796
KMG,WUH,0.0057,0.0267,0.00548,0.000513288
KMG,XMN,0.0057,0.0265,0.00507,0.000476879
WUX,CAN,0.0057,0.0247,0.00572,0.000496754
WUX,SZX,0.0057,0.0269,0.00513,0.00048292
CAN,HAK,0.0057,0.0298,0.00583,0.000581185
LXA,CKG,0.0057,0.0226,0.00719,0.000280912
WUH,TAO,0.0056,0.0266,0.00495,0.000461049
CAN,HRB,0.0056,0.0253,0.00455,0.000317474
KMG,TSN,0.0056,0.0250,0.00538,0.000491836
NKG,CGQ,0.0056,0.0259,0.00596,0.000573527
HAK,PVG,0.0056,0.0277,0.00471,0.000392864
PKX,PVG,0.0055,0.0276,0.00538,0.000476129
TSN,KMG,0.0055,0.0222,0.00544,0.000444624
PEK,ZUH,0.0055,0.0239,0.00478,0.000341359
KWE,PVG,0.0055,0.0254,0.00566,0.000551922
CGQ,NKG,0.0055,0.0235,0.00676,0.000632428
TFU,XMN,0.0055,0.0268,0.00447,0.000371372
KWE,NKG,0.0055,0.0265,0.00511,0.000501956
CSX,KMG,0.0055,0.0248,0.00578,0.000531611
PEK,FOC,0.0055,0.0241,0.00479,0.000413842
TAO,CSX,0.0054,0.0245,0.00524,0.000478329
SHE,NKG,0.0054,0.0249,0.00610,0.000572758
KWE,HGH,0.0054,0.0269,0.00472,0.000480824
CGO,SYX,0.0054,0.0247,0.00474,0.000437228
TFU,TSN,0.0054,0.0254,0.00420,0.000387439
CAN,SHE,0.0054,0.0231,0.00578,0.000435135
CGO,XMN,0.0054,0.0252,0.00474,0.000416607
HFE,SZX,0.0053,0.0238,0.00536,0.000465735
HRB,PKX,0.0053,0.0271,0.00539,0.000523928
PKX,ZUH,0.0053,0.0221,0.00483,0.000411242
TFU,TNA,0.0053,0.0260,0.00470,0.000462413
NKG,KWE,0.0053,0.0223,0.00608,0.000547857
WUH,PEK,0.0053,0.0265,0.00512,0.000485669
CKG,WUX,0.0053,0.0277,0.00452,0.000456394
LHW,PEK,0.0053,0.0246,0.00472,0.000306533
HRB,PEK,0.0052,0.0270,0.00456,0.000374481
TFU,CSX,0.0052,0.0257,0.00528,0.000504014
WUH,CAN,0.0052,0.0252,0.00454,0.000420108
KHN,PEK,0.0052,0.0268,0.00364,0.000304506
TNA,TFU,0.0052,0.0225,0.00463,0.000407758
KMG,WUX,0.0052,0.0260,0.00460,0.000454692
SZX,HAK,0.0052,0.0276,0.00520,0.000501667
PVG,LHW,0.0051,0.0215,0.00641,0.000571236
CAN,CGQ,0.0051,0.0229,0.00545,0.000489609
CTU,NKG,0.0051,0.0265,0.00454,0.000353216
NNG,PVG,0.0051,0.0240,0.00514,0.000484315
HRB,CAN,0.0051,0.0229,0.00439,0.000323385
PKX,FOC,0.0051,0.0246,0.00347,0.000269474
WUH,PKX,0.0051,0.0243,0.00456,0.000426543
HRB,NKG,0.0051,0.0218,0.00524,0.000466467
WUX,KMG,0.0051,0.0221,0.00558,0.000501971
CGO,KRL,0.0051,0.0215,0.00429,0.000349593
URC,KHG,0.0050,0.0253,0.00408,0.000323324
FOC,CKG,0.0050,0.0233,0.00426,0.000378321
XIY,SHE,0.0050,0.0223,0.00579,0.000531594
TNA,HRB,0.0050,0.0222,0.00558,0.000512504
WUX,TFU,0.0050,0.0216,0.00576,0.000470448
HGH,DLC,0.0050,0.0247,0.00450,0.000435092
XIY,TAO,0.0050,0.0241,0.00490,0.000476255
CGQ,SZX,0.0050,0.0207,0.00496,0.000419547
NKG,HRB,0.0050,0.0221,0.00482,0.00044633
NGB,CAN,0.0050,0.0228,0.00394,0.000273167
CAN,NGB,0.0049,0.0247,0.00384,0.00029387
XIY,CSX,0.0049,0.0230,0.00514,0.000488219
CGQ,CAN,0.0049,0.0213,0.00514,0.000451736
SZX,WUH,0.0049,0.0264,0.00431,0.000400628
SYX,CGO,0.0049,0.0223,0.00419,0.000392554
PVG,URC,0.0049,0.0194,0.00423,0.000334655
CSX,HRB,0.0049,0.0215,0.00461,0.000408548
WNZ,KWE,0.0049,0.0230,0.00431,0.000402099
SHA,TYN,0.0049,0.0222,0.00545,0.000505851
XIY,NKG,0.0048,0.0228,0.00529,0.000500881
FOC,KMG,0.0048,0.0215,0.00422,0.000379978
CSX,TSN,0.0048,0.0229,0.00466,0.000448307
CSX,SHA,0.0048,0.0261,0.00402,0.000374167
XMN,TSN,0.0048,0.0219,0.00429,0.000390047
TSN,XIY,0.0048,0.0196,0.00443,0.000329165
SHA,TAO,0.0048,0.0242,0.00514,0.000498401
TFU,WUX,0.0048,0.0235,0.00444,0.000424765
TAO,XIY,0.0048,0.0212,0.00480,0.000428913
TSN,CKG,0.0048,0.0199,0.00380,0.000301305
CSX,SHE,0.0048,0.0226,0.00444,0.000419756
SZX,TYN,0.0047,0.0235,0.00409,0.000368816
KMG,CSX,0.0047,0.0218,0.00495,0.000459371
WUH,CTU,0.0047,0.0227,0.00486,0.000411896
CSX,TNA,0.0047,0.0227,0.00438,0.000397004
HAK,XIY,0.0047,0.0227,0.00418,0.000402432
KMG,LUM,0.0047,0.0226,0.00494,0.000481611
SHE,CSX,0.0047,0.0217,0.00434,0.000395769
CKG,XMN,0.0047,0.0208,0.00435,0.00038935
URC,PVG,0.0047,0.0218,0.00344,0.000324222
TSN,CTU,0.0047,0.0202,0.00376,0.000292747
HAK,CSX,0.0047,0.0219,0.00437,0.000403167
CAN,HFE,0.0047,0.0228,0.00365,0.000314827
NKG,SHE,0.0047,0.0213,0.00490,0.000446199
NGB,PKX,0.0047,0.0229,0.00466,0.000462553
HAK,CKG,0.0047,0.0210,0.00499,0.000447037
SYX,CSX,0.0047,0.0226,0.00418,0.000382975
PKX,HRB,0.0047,0.0232,0.00484,0.000470904
SYX,NKG,0.0047,0.0224,0.00429,0.000380536
HAK,SHA,0.0047,0.0234,0.00405,0.000289461
FOC,XIY,0.0047,0.0221,0.00371,0.000317121
KMG,FOC,0.0046,0.0221,0.00377,0.000358747
PVG,LJG,0.0046,0.0185,0.00597,0.000487813
TSN,URC,0.0046,0.0191,0.00361,0.000289878
XIY,HAK,0.0046,0.0219,0.00398,0.000376674
TSN,PVG,0.0046,0.0207,0.00358,0.000303579
CKG,HAK,0.0046,0.0204,0.00502,0.000449386
NKG,XIY,0.0046,0.0186,0.00614,0.000530325
HGH,NNG,0.0046,0.0210,0.00444,0.000420393
WNZ,KMG,0.0046,0.0194,0.00463,0.000407023
SZX,NGB,0.0045,0.0242,0.00429,0.000415422
HRB,XIY,0.0045,0.0204,0.00485,0.000441624
KMG,HFE,0.0045,0.0219,0.00439,0.000423716
TSN,XMN,0.0045,0.0203,0.00376,0.000331419
TFU,HFE,0.0045,0.0220,0.00461,0.000448422
HAK,WUH,0.0045,0.0212,0.00389,0.000349647
PEK,WNZ,0.0045,0.0218,0.00408,0.000282902
TYN,SZX,0.0045,0.0206,0.00398,0.00033978
CTU,TSN,0.0045,0.0218,0.00360,0.000321079
NGB,KWE,0.0045,0.0191,0.00480,0.000436672
HRB,CSX,0.0045,0.0188,0.00441,0.000378307
LHW,PVG,0.0045,0.0204,0.00519,0.000516492
NKG,CTU,0.0045,0.0191,0.00534,0.000357857
KRL,CGO,0.0044,0.0192,0.00341,0.000277708
WNZ,CAN,0.0044,0.0210,0.00443,0.000407314
KMG,WNZ,0.0044,0.0215,0.00366,0.000347264
CTU,URC,0.0044,0.0209,0.00376,0.000217548
WNZ,PEK,0.0044,0.0219,0.00397,0.000335567
CKG,FOC,0.0044,0.0211,0.00350,0.000328009
TSN,CSX,0.0044,0.0200,0.00416,0.000378069
SHE,CKG,0.0044,0.0202,0.00430,0.000349959
SHA,TSN,0.0044,0.0217,0.00414,0.000400437
LJG,PVG,0.0044,0.0191,0.00507,0.000465661
SHA,CSX,0.0044,0.0215,0.00464,0.000417273
CGO,TFU,0.0044,0.0196,0.00392,0.000313167
SYX,CKG,0.0044,0.0202,0.00496,0.000480977
TFU,WUH,0.0044,0.0196,0.00489,0.000453375
HGH,CGQ,0.0044,0.0201,0.00404,0.00025854
PEK,HRB,0.0044,0.0220,0.00389,0.000321609
KMG,SJW,0.0043,0.0202,0.00364,0.000345042
WUH,SYX,0.0043,0.0211,0.00502,0.000475365
HGH,HAK,0.0043,0.0199,0.00402,0.000371195
KMG,TYN,0.0043,0.0198,0.00444,0.000422104
PEK,WUH,0.0043,0.0193,0.00465,0.000430056
XMN,SHE,0.0043,0.0196,0.00348,0.000309824
PVG,ZUH,0.0042,0.0183,0.00505,0.000463171
PVG,KWL,0.0042,0.0195,0.00487,0.00040589
KWE,PKX,0.0042,0.0199,0.00370,0.000360721
SHE,TAO,0.0042,0.0204,0.00409,0.000396275
ZUH,PVG,0.0042,0.0204,0.00452,0.000445898
NNG,HGH,0.0042,0.0206,0.00346,0.000347463
XMN,NKG,0.0042,0.0200,0.00416,0.000392884
CSX,TYN,0.0041,0.0194,0.00376,0.00035148
DLC,HGH,0.0041,0.0184,0.00409,0.000382892
HFE,TFU,0.0041,0.0168,0.00520,0.000454834
KWE,NGB,0.0041,0.0186,0.00408,0.000395906
HET,CAN,0.0041,0.0188,0.00366,0.000296866
CAN,LHW,0.0041,0.0187,0.00452,0.000336263
CAN,SYX,0.0041,0.0213,0.00400,0.000374563
ZUH,XIY,0.0040,0.0184,0.00360,0.000331243
KWE,WNZ,0.0040,0.0207,0.00324,0.000328488
SZX,LHW,0.0040,0.0193,0.00384,0.00025768
CGO,HRB,0.0040,0.0185,0.00330,0.000247518
URC,TSN,0.0040,0.0184,0.00339,0.0003171
CKG,SYX,0.0040,0.0180,0.00451,0.000425081
TAO,WUH,0.0040,0.0168,0.00376,0.000326863
CGO,KWE,0.0040,0.0177,0.00416,0.000379354
XMN,CTU,0.0040,0.0186,0.00436,0.000306912
LHW,PKX,0.0040,0.0192,0.00440,0.000433138
HGH,TAO,0.0040,0.0195,0.00344,0.000330964
HRB,SYX,0.0040,0.0172,0.00354,0.000165153
KWE,TNA,0.0040,0.0186,0.00352,0.000331839
URC,CTU,0.0040,0.0187,0.00328,0.000181604
XIY,FOC,0.0040,0.0188,0.00342,0.000311799
HFE,KMG,0.0040,0.0162,0.00486,0.000426334
TYN,SHA,0.0040,0.0186,0.00431,0.000417962
PKX,NGB,0.0040,0.0193,0.00372,0.000369232
CKG,TSN,0.0040,0.0181,0.00353,0.000324437
CAN,HET,0.0039,0.0181,0.00384,0.000316126
KMG,TAO,0.0039,0.0187,0.00371,0.000353414
CGO,CGQ,0.0039,0.0184,0.00335,0.00029796
TNA,KWE,0.0039,0.0165,0.00380,0.000332015
TFU,KHG,0.0039,0.0161,0.00363,0.000223039
HAK,HGH,0.0039,0.0184,0.00356,0.000340034
CAN,TYN,0.0039,0.0171,0.00307,0.000258695
TYN,CAN,0.0039,0.0164,0.00315,0.000265503
SHE,XMN,0.0039,0.0170,0.00376,0.000340903
CSX,CTU,0.0039,0.0193,0.00403,0.000320438
CTU,TNA,0.0039,0.0197,0.00353,0.000272297
PVG,INC,0.0039,0.0171,0.00436,0.000392426
TAO,SHA,0.0038,0.0177,0.00419,0.000390927
NGB,SZX,0.0038,0.0190,0.00389,0.000366059
LHW,HGH,0.0038,0.0180,0.00353,0.000346837
WUH,XMN,0.0038,0.0188,0.00318,0.000291447
HAK,CAN,0.0038,0.0181,0.00464,0.000446877
WUH,SHE,0.0038,0.0181,0.00398,0.000372953
SYX,HRB,0.0038,0.0163,0.00325,0.000150671
HRB,CGO,0.0038,0.0162,0.00378,0.000287214
SHE,CGO,0.0038,0.0169,0.00350,0.000316861
NKG,SYX,0.0038,0.0171,0.00416,0.000383618
TAO,CTU,0.0038,0.0172,0.00346,0.000208854
CGQ,HGH,0.0038,0.0158,0.00404,0.000250514
KHN,TFU,0.0037,0.0169,0.00393,0.0003067
CAN,WUH,0.0037,0.0176,0.00369,0.000345073
SZX,KWE,0.0037,0.0180,0.00296,0.000270211
XIY,TNA,0.0037,0.0171,0.00397,0.000356587
NKG,NNG,0.0037,0.0155,0.00367,0.000291819
NNG,NKG,0.0037,0.0169,0.00316,0.000269569
FOC,CGO,0.0037,0.0172,0.00313,0.000278052
HGH,LHW,0.0037,0.0157,0.00416,0.000371198
TSN,SHA,0.0037,0.0180,0.00282,0.000257387
CSX,CKG,0.0037,0.0189,0.00360,0.000360698
CSX,PVG,0.0037,0.0188,0.00404,0.00041631
CTU,WUH,0.0037,0.0180,0.00360,0.000315617
FOC,TFU,0.0037,0.0167,0.00285,0.000222432
PEK,XIY,0.0037,0.0203,0.00314,0.000277184
LXA,PEK,0.0037,0.0182,0.00310,0.000117668
XMN,TAO,0.0037,0.0170,0.00292,0.000274264
CGQ,XIY,0.0036,0.0154,0.00482,0.00041004
KWL,PVG,0.0036,0.0177,0.00402,0.000368683
PVG,TSN,0.0036,0.0166,0.00383,0.000360485
TAO,KMG,0.0036,0.0147,0.00411,0.000349831
CGO,SHE,0.0036,0.0165,0.00321,0.000295288
KMG,TFU,0.0036,0.0178,0.00375,0.000338612
CTU,XMN,0.0036,0.0173,0.00355,0.000263026
KHN,XIY,0.0036,0.0164,0.00372,0.000334743
